time,open,high,low,close,tick_volume,spread,real_volume
2026-02-03 10:00:00,1.1791800000000001,1.17996,1.17917,1.17974,929,8,0
2026-02-03 10:15:00,1.17974,1.17974,1.17881,1.17942,811,8,0
2026-02-03 10:30:00,1.17942,1.1795,1.17879,1.17901,740,8,0
2026-02-03 10:45:00,1.17901,1.17902,1.17864,1.17868,773,8,0
2026-02-03 11:00:00,1.17868,1.1792,1.17823,1.17897,980,8,0
2026-02-03 11:15:00,1.17897,1.17919,1.17826,1.1791,902,8,0
2026-02-03 11:30:00,1.1791,1.17944,1.1789399999999999,1.17899,759,8,0
2026-02-03 11:45:00,1.17899,1.17906,1.17865,1.17868,564,8,0
2026-02-03 12:00:00,1.17868,1.1792,1.17864,1.17901,743,8,0
2026-02-03 12:15:00,1.17901,1.1795200000000001,1.17895,1.17913,753,8,0
2026-02-03 12:30:00,1.17913,1.17969,1.17905,1.17967,803,8,0
2026-02-03 12:45:00,1.17967,1.17998,1.17943,1.17962,923,8,0
2026-02-03 13:00:00,1.17962,1.18046,1.17948,1.18045,1338,8,0
2026-02-03 13:15:00,1.18045,1.18063,1.17954,1.17959,1336,8,0
2026-02-03 13:30:00,1.17959,1.17992,1.17923,1.17967,1148,8,0
2026-02-03 13:45:00,1.17967,1.1801300000000001,1.17954,1.17957,1116,8,0
2026-02-03 14:00:00,1.17957,1.17962,1.17797,1.17835,1886,8,0
2026-02-03 14:15:00,1.17835,1.17906,1.17816,1.17901,1207,8,0
2026-02-03 14:30:00,1.17902,1.17987,1.17893,1.17963,2144,8,0
2026-02-03 14:45:00,1.17963,1.18009,1.17906,1.17907,1577,8,0
2026-02-03 15:00:00,1.17907,1.1797900000000001,1.17859,1.1795499999999999,1824,8,0
2026-02-03 15:15:00,1.1795499999999999,1.18092,1.1795,1.1808,1935,8,0
2026-02-03 15:30:00,1.1808,1.18089,1.18024,1.18063,1918,8,0
2026-02-03 15:45:00,1.18063,1.18132,1.18034,1.18126,1654,8,0
2026-02-03 16:00:00,1.18126,1.18161,1.18102,1.1813500000000001,1450,8,0
2026-02-03 16:15:00,1.1813500000000001,1.18174,1.18099,1.181,1450,8,0
2026-02-03 16:30:00,1.181,1.18175,1.181,1.18171,1289,8,0
2026-02-03 16:45:00,1.18171,1.1821,1.18146,1.18175,1545,8,0
2026-02-03 17:00:00,1.18174,1.18225,1.18161,1.1819,1341,8,0
2026-02-03 17:15:00,1.1819,1.18287,1.18168,1.18184,1836,8,0
2026-02-03 17:30:00,1.18184,1.1820599999999999,1.1813500000000001,1.18141,1097,8,0
2026-02-03 17:45:00,1.18141,1.18184,1.18133,1.1816,1046,8,0
2026-02-03 18:00:00,1.1816,1.18222,1.18144,1.1815,1135,8,0
2026-02-03 18:15:00,1.1815,1.18194,1.18134,1.18138,1075,8,0
2026-02-03 18:30:00,1.18137,1.18163,1.18099,1.18125,934,8,0
2026-02-03 18:45:00,1.18125,1.18154,1.18088,1.18088,1188,8,0
2026-02-03 19:00:00,1.18088,1.18119,1.18055,1.18105,1327,8,0
2026-02-03 19:15:00,1.18104,1.18113,1.18063,1.18108,887,8,0
2026-02-03 19:30:00,1.18108,1.18158,1.18098,1.1813500000000001,829,8,0
2026-02-03 19:45:00,1.1813500000000001,1.18168,1.18117,1.18132,929,8,0
2026-02-03 20:00:00,1.18133,1.18147,1.18091,1.18143,960,8,0
2026-02-03 20:15:00,1.18143,1.18154,1.18109,1.18117,664,8,0
2026-02-03 20:30:00,1.18117,1.18193,1.18117,1.18161,999,8,0
2026-02-03 20:45:00,1.1816,1.18215,1.18156,1.18207,858,8,0
2026-02-03 21:00:00,1.18207,1.1825,1.18197,1.18248,430,8,0
2026-02-03 21:15:00,1.18248,1.18249,1.18213,1.18225,240,8,0
2026-02-03 21:30:00,1.18224,1.18244,1.18222,1.18236,197,8,0
2026-02-03 21:45:00,1.18236,1.18244,1.1818,1.1819,426,8,0
2026-02-03 22:00:00,1.18132,1.18152,1.18124,1.1813,32,60,0
2026-02-03 22:15:00,1.1813,1.18149,1.1813,1.18144,44,51,0
2026-02-03 22:30:00,1.18144,1.1819600000000001,1.18144,1.18185,200,13,0
2026-02-03 22:45:00,1.18185,1.18185,1.1815,1.18153,1208,18,0
2026-02-03 23:00:00,1.18152,1.182,1.18145,1.18182,461,8,0
2026-02-03 23:15:00,1.18182,1.18182,1.18125,1.18125,237,8,0
2026-02-03 23:30:00,1.18126,1.18159,1.18119,1.18144,241,8,0
2026-02-03 23:45:00,1.18145,1.18165,1.18144,1.18152,222,8,0
2026-02-04 00:00:00,1.18152,1.18158,1.18085,1.18118,640,8,0
2026-02-04 00:15:00,1.18117,1.18151,1.18112,1.18146,376,8,0
2026-02-04 00:30:00,1.18146,1.18157,1.18123,1.18145,497,8,0
2026-02-04 00:45:00,1.18145,1.1817199999999999,1.18122,1.18139,788,8,0
2026-02-04 01:00:00,1.18139,1.18217,1.1812,1.18201,815,8,0
2026-02-04 01:15:00,1.18202,1.18262,1.18198,1.18245,905,8,0
2026-02-04 01:30:00,1.18245,1.1828,1.18201,1.18278,814,8,0
2026-02-04 01:45:00,1.18278,1.18315,1.18242,1.1825700000000001,737,8,0
2026-02-04 02:00:00,1.1825700000000001,1.18313,1.18243,1.18263,610,8,0
2026-02-04 02:15:00,1.18263,1.18266,1.18227,1.18244,535,8,0
2026-02-04 02:30:00,1.18244,1.1826,1.18232,1.18253,400,8,0
2026-02-04 02:45:00,1.18253,1.1825700000000001,1.18184,1.18218,543,8,0
2026-02-04 03:00:00,1.18218,1.18246,1.18217,1.18237,518,8,0
2026-02-04 03:15:00,1.18237,1.18243,1.1821,1.18232,460,8,0
2026-02-04 03:30:00,1.18232,1.18234,1.18204,1.18216,303,8,0
2026-02-04 03:45:00,1.18217,1.18277,1.18213,1.1826699999999999,470,8,0
2026-02-04 04:00:00,1.1826699999999999,1.18302,1.18251,1.18301,419,8,0
2026-02-04 04:15:00,1.18301,1.18303,1.18276,1.18292,252,8,0
2026-02-04 04:30:00,1.18292,1.18321,1.18281,1.18288,252,8,0
2026-02-04 04:45:00,1.18288,1.18354,1.18286,1.18352,512,8,0
2026-02-04 05:00:00,1.18352,1.18354,1.18327,1.18332,355,8,0
